Inventarisnr.,Inv.srt,Omschrijving,Straat,Thv,X-Coord.,Y-Coord.,Deelgem.,Status,Mutdatum,Door user
FT248,FT,Fietstrommel,P V ASCHSTR,22,51.93959045,4.424769878,Overschie,A,07/06/2009,Conversie
FT249,FT,Fietstrommel,SCHIELN,23,51.94379044,4.421969891,Overschie,A,07/06/2009,Conversie
FT25,FT,Fietstrommel,BREITNERSTR,89 a,51.91410065,4.466969967,Centrum,A,07/06/2009,Conversie
FT250,FT,Fietstrommel,ZESTIENHOVENSEKD,250,51.93917847,4.43407011,Overschie  ,A,07/06/2009,Conversie
FT251,FT,Fietstrommel,CLEYBURCHSTR,48,51.93325043,4.454130173,Noord,A,13/07/2010,BEHEER-STZ
FT252,FT,Fietstrommel,VD DUSSENSTR,10,51.93104935,4.456580162,Noord,A,13/07/2010,STREPE
FT253,FT,Fietstrommel,VD DUSSENSTR,12,51.9310112,4.456439972,Noord,A,07/06/2009,Conversie
FT254,FT,Fietstrommel,BYLWERFFSTR,20,51.93244934,4.457129955,Noord,A,13/07/2010,STREPE
FT255,FT,Fietstrommel,SOURYSTR,50,51.93412018,4.458439827,Noord,A,07/06/2009,Conversie
FT256,FT,Fietstrommel,SOURYSTR,50,51.93412018,4.458449841,Noord,A,13/07/2010,STREPE
FT257,FT,Fietstrommel,NOORDERHAVENKD,31,51.93466949,4.458990097,Noord,A,07/06/2009,Conversie
FT258,FT,Fietstrommel,NOORDERHAVENKD,65,51.93392944,4.459630013,Noord,A,07/06/2009,Conversie
FT259,FT,Fietstrommel,SONMANSSTR,138,51.93249893,4.459899902,Noord,A,13/07/2010,BEHEER-STZ
FT26,FT,Fietstrommel,BREITNERSTR,109 c,51.91324997,4.467100143,Centrum,A,07/06/2009,Conversie
FT260,FT,Fietstrommel,SONMANSSTR,140,51.93246078,4.459929943,Noord,A,13/07/2010,STREPE
FT261,FT,Fietstrommel,NOBELSTR,101,51.93151855,4.459630013,Noord,A,13/07/2010,BEHEER-STZ
FT262,FT,Fietstrommel,DE KEMPENAERSTR,12,51.93532181,4.461939812,Noord,A,13/07/2010,STREPE
FT263,FT,Fietstrommel,LUZACSTR,2,51.935009,4.462920189,Noord,A,07/06/2009,Conversie
FT264,FT,Fietstrommel,KERDYKSTR,16,51.93326187,4.462729931,Noord,A,01/04/2011,franno
FT265,FT,Fietstrommel,BERGSELN,277,51.93357849,4.464690208,Noord,A,13/07/2010,BEHEER-STZ
FT266,FT,Fietstrommel,BERGSELN,305,51.93284988,4.463620186,Noord,A,13/07/2010,STREPE
FT267,FT,Fietstrommel,BERGSELN,338,51.93367004,4.465119839,Noord,A,07/06/2009,Conversie
FT268,FT,Fietstrommel,BERGSELN,364,51.93291092,4.464039803,Noord,A,13/07/2010,STREPE
FT269,FT,Fietstrommel,SCHIEWG,104,51.93281937,4.465990067,Noord,A,13/07/2010,BEHEER-STZ
FT27,FT,Fietstrommel,OCHTERVELTSTR,23,51.91362,4.466460228,Centrum,A,07/06/2009,Conversie
FT270,FT,Fietstrommel,SCHIEWG,117,51.93341827,4.465720177,Noord,A,07/06/2009,Conversie
FT271,FT,Fietstrommel,STADHOUDERSWG,86,51.93098068,4.460939884,Noord,A,13/07/2010,BEHEER-STZ
FT272,FT,Fietstrommel,NOLENSSTR,69,51.93006134,4.462830067,Noord,A,13/07/2010,STREPE
FT273,FT,Fietstrommel,NOLENSSTR,47,51.93062973,4.463829994,Noord,A,13/07/2010,BEHEER-STZ
FT274,FT,Fietstrommel,DOEZASTR,17,51.92858124,4.463399887,Noord,A,13/07/2010,STREPE
FT275,FT,Fietstrommel,STATENSNGL,48,51.92908859,4.462580204,Noord,A,13/07/2010,BEHEER-STZ
FT276,FT,Fietstrommel,STATENSNGL,48,51.92908859,4.462590218,Noord,A,13/07/2010,STREPE
FT277,FT,Fietstrommel,STATENSNGL,29,51.9301796,4.465720177,Noord,A,13/07/2010,BEHEER-STZ
FT278,FT,Fietstrommel,STATIONSSNGL,107,51.92631149,4.463459969,Noord,A,13/07/2010,STREPE
FT279,FT,Fietstrommel,STATIONSSNGL,97,51.92601013,4.463779926,Noord,A,13/07/2010,BEHEER-STZ
FT28,FT,Fietstrommel,OCHTERVELTSTR,48,51.91323853,4.465300083,Centrum,A,07/06/2009,Conversie
FT280,FT,Fietstrommel,KL COOLSTR,11,51.92692947,4.467030048,Noord,A,07/06/2009,Conversie
